Time[s],Voltage[V],Current[A]
8.7943971985993e-05,0.0,4.259144799998522
8.80440220110055e-05,0.0,4.25488565555363
8.814407203601801e-05,0.0,4.250630770252827
8.824412206103052e-05,0.0,4.246380139836972
8.834417208604303e-05,0.0,4.242133760051176
8.844422211105552e-05,0.0,4.237891626644814
8.854427213606803e-05,0.0,4.233653735371503
8.864432216108054e-05,0.0,4.229420081989112
8.874437218609305e-05,0.0,4.225190662259751
8.884442221110555e-05,0.0,4.220965471949766
8.894447223611806e-05,0.0,4.216744506829739
8.904452226113057e-05,0.0,4.212527762674481
8.914457228614307e-05,0.0,4.208315235263026
8.924462231115558e-05,0.0,4.2041069203786305
8.934467233616808e-05,0.0,4.19990281380877
8.944472236118059e-05,0.0,4.195702911345128
8.95447723861931e-05,0.0,4.1915072087836
8.964482241120561e-05,0.0,4.187315701924283
8.97448724362181e-05,0.0,4.183128386571477
8.984492246123061e-05,0.0,4.178945258533673
8.994497248624312e-05,0.0,4.174766313623559
9.004502251125563e-05,0.0,4.170591547658007
9.014507253626813e-05,0.0,4.166420956458072
9.024512256128064e-05,0.0,4.162254535848989
9.034517258629315e-05,0.0,4.158092281660169
9.044522261130566e-05,0.0,4.153934189725189
9.054527263631817e-05,0.0,4.149780255881798
9.064532266133066e-05,0.0,4.145630475971905
9.074537268634317e-05,0.0,4.141484845841575
9.084542271135568e-05,0.0,4.1373433613410295
9.094547273636819e-05,0.0,4.133206018324639
9.104552276138069e-05,0.0,4.1290728126509215
9.11455727863932e-05,0.0,4.124943740182531
9.12456228114057e-05,0.0,4.120818796786266
9.134567283641821e-05,0.0,4.116697978333053
9.144572286143071e-05,0.0,4.11258128069795
9.154577288644322e-05,0.0,4.108468699760139
9.164582291145573e-05,0.0,4.1043602314029215
9.174587293646824e-05,0.0,4.10025587151372
9.184592296148075e-05,0.0,4.096155615984065
9.194597298649324e-05,0.0,4.092059460709598
9.204602301150575e-05,0.0,4.087967401590064
9.214607303651826e-05,0.0,4.083879434529308
9.224612306153077e-05,0.0,4.079795555435273
9.234617308654327e-05,0.0,4.075715760219991
9.244622311155578e-05,0.0,4.071640044799583
9.254627313656829e-05,0.0,4.067568405094256
9.26463231615808e-05,0.0,4.063500837028296
9.274637318659329e-05,0.0,4.0594373365300624
9.28464232116058e-05,0.0,4.055377899531988
9.294647323661831e-05,0.0,4.051322521970573
9.304652326163082e-05,0.0,4.0472711997863815
9.314657328664333e-05,0.0,4.043223928924037
9.324662331165582e-05,0.0,4.039180705332216
9.334667333666833e-05,0.0,4.035141524963651
9.344672336168084e-05,0.0,4.031106383775117
9.354677338669335e-05,0.0,4.027075277727435
9.364682341170585e-05,0.0,4.023048202785466
9.374687343671836e-05,0.0,4.019025154918102
9.384692346173087e-05,0.0,4.01500613009827
9.394697348674338e-05,0.0,4.010991124302922
9.404702351175587e-05,0.0,4.006980133513037
9.414707353676838e-05,0.0,4.002973153713605
9.424712356178089e-05,0.0,3.9989701808936395
9.43471735867934e-05,0.0,3.99497121104616
9.444722361180591e-05,0.0,3.9909762401681945
9.45472736368184e-05,0.0,3.9869852642607744
9.464732366183092e-05,0.0,3.9829982793289282
9.474737368684342e-05,0.0,3.9790152813816815
9.484742371185593e-05,0.0,3.975036266432051
9.494747373686843e-05,0.0,3.9710612304970376
9.504752376188094e-05,0.0,3.967090169597628
9.514757378689345e-05,0.0,3.9631230797587857
9.524762381190596e-05,0.0,3.9591599570094527
9.534767383691845e-05,0.0,3.9552007973825387
9.544772386193096e-05,0.0,3.9512455969149207
9.554777388694347e-05,0.0,3.9472943516474412
9.564782391195598e-05,0.0,3.9433470576248992
9.574787393696849e-05,0.0,3.939403710896051
9.584792396198099e-05,0.0,3.9354643075136027
9.59479739869935e-05,0.0,3.9315288435342084
9.6048024012006e-05,0.0,3.9275973150184655
9.614807403701852e-05,0.0,3.923669718030911
9.624812406203101e-05,0.0,3.919746048640016
9.634817408704352e-05,0.0,3.9158263029181843
9.644822411205603e-05,0.0,3.9119104769417485
9.654827413706854e-05,0.0,3.9079985667909622
9.664832416208104e-05,0.0,3.9040905685500014
9.674837418709354e-05,0.0,3.9001864783069546
9.684842421210605e-05,0.0,3.8962862921538255
9.694847423711856e-05,0.0,3.892390006186525
9.704852426213106e-05,0.0,3.8884976165048664
9.714857428714357e-05,0.0,3.8846091192125645
9.724862431215608e-05,0.0,3.8807245104172314
9.734867433716859e-05,0.0,3.8768437862303697
9.74487243621811e-05,0.0,3.872966942767371
9.754877438719359e-05,0.0,3.869093976147513
9.76488244122061e-05,0.0,3.8652248824939512
9.774887443721861e-05,0.0,3.86135965793372
9.784892446223112e-05,0.0,3.857498298597727
9.794897448724362e-05,0.0,3.8536408006207488
9.804902451225613e-05,0.0,3.849787160141425
9.814907453726864e-05,0.0,3.84593737330226
9.824912456228114e-05,0.0,3.8420914362496124
9.834917458729364e-05,0.0,3.838249345133698
9.844922461230615e-05,0.0,3.8344110961085778
9.854927463731866e-05,0.0,3.8305766853321632
9.864932466233117e-05,0.0,3.826746108966205
9.874937468734368e-05,0.0,3.822919363176294
9.884942471235617e-05,0.0,3.819096444131854
9.894947473736868e-05,0.0,3.81527734800614
9.904952476238119e-05,0.0,3.8114620709762317
9.91495747873937e-05,0.0,3.807650609223036
9.92496248124062e-05,0.0,3.8038429589312766
9.934967483741871e-05,0.0,3.8000391162894904
9.944972486243122e-05,0.0,3.796239077490029
9.954977488744373e-05,0.0,3.79244283872905
9.964982491245622e-05,0.0,3.788650396206517
9.974987493746873e-05,0.0,3.7848617461261886
9.984992496248124e-05,0.0,3.7810768846956258
9.994997498749375e-05,0.0,3.7772958081261776
0.00010005002501250626,100.0,3.7785197628412917
0.00010015007503751876,100.0,3.7847412425597335
0.00010025012506253126,100.0,3.790956500798977
0.00010035017508754377,100.0,3.7971655437804985
0.00010045022511255628,100.0,3.8033683777195577
0.00010055027513756878,100.0,3.809565008825193
0.00010065032516258129,100.0,3.8157554433002403
0.0001007503751875938,100.0,3.8219396873413283
0.00010085042521260631,100.0,3.828117747138891
0.0001009504752376188,100.0,3.8342896288771717
0.00010105052526263131,100.0,3.8404553387342277
0.00010115057528764382,100.0,3.8466148828819415
0.00010125062531265633,100.0,3.852768267486021
0.00010135067533766884,100.0,3.8589154987060104
0.00010145072536268134,100.0,3.8650565826952903
0.00010155077538769385,100.0,3.8711915256010947
0.00010165082541270636,100.0,3.877320333564504
0.00010175087543771886,100.0,3.883443012720461
0.00010185092546273136,100.0,3.8895595691977727
0.00010195097548774387,100.0,3.895670009119117
0.00010205102551275638,100.0,3.901774338601049
0.00010215107553776889,100.0,3.907872563754008
0.00010225112556278138,100.0,3.913964690682323
0.0001023511755877939,100.0,3.9200507254842174
0.0001024512256128064,100.0,3.9261306742518176
0.00010255127563781891,100.0,3.9322045430711565
0.00010265132566283142,100.0,3.938272338022183
0.00010275137568784392,100.0,3.9443340651787633
0.00010285142571285643,100.0,3.950389730608694
0.00010295147573786894,100.0,3.9564393403736995
0.00010305152576288145,100.0,3.9624829005294435
0.00010315157578789394,100.0,3.9685204171255357
0.00010325162581290645,100.0,3.9745518962055355
0.00010335167583791896,100.0,3.9805773438069583
0.00010345172586293147,100.0,3.9865967659612824
0.00010355177588794397,100.0,3.992610168693953
0.00010365182591295648,100.0,3.9986175580243932
0.00010375187593796898,100.0,4.0046189399660035
0.0001038519259629815,100.0,4.010614320526173
0.000103951975987994,100.0,4.016603705706282
0.0001040520260130065,100.0,4.022587101501709
0.00010415207603801901,100.0,4.0285645139018404
0.00010425212606303152,100.0,4.0345359488900705
0.00010435217608804403,100.0,4.04050141244381
0.00010445222611305652,100.0,4.046460910534492
0.00010455227613806903,100.0,4.052414449127581
0.00010465232616308154,100.0,4.058362034182574
0.00010475237618809405,100.0,4.064303671653008
0.00010485242621310655,100.0,4.070239367486465
0.00010495247623811906,100.0,4.076169127624585
0.00010505252626313157,100.0,4.082092958003061
0.00010515257628814408,100.0,4.088010864551653
0.00010525262631315659,100.0,4.093922853194189
0.00010535267633816908,100.0,4.099828929848575
0.00010545272636318159,100.0,4.1057291004267995
0.0001055527763881941,100.0,4.111623370834939
0.00010565282641320661,100.0,4.11751174697316
0.0001057528764382191,100.0,4.123394234735734
0.00010585292646323161,100.0,4.129270840011036
0.00010595297648824412,100.0,4.135141568681553
0.00010605302651325663,100.0,4.141006426623889
0.00010615307653826913,100.0,4.146865419708771
0.00010625312656328164,100.0,4.152718553801057
